,peasantLeisureAffinity,peasantKind,contractor,pesticidesAvailable,initialHealth,purpose,initialMoney,tools,daysToWorkForOther,peasantFamilyLandAlias,robberyAccount,rainfallConditions,peasantFriendsAffinity,assignedLands,Happiness/Sadness,farm,timeLeftOnDay,Hopeful/Uncertainty,seeds,newDay,currentSeason,cropSize,health,currentPeasantLeisureType,internalCurrentDate,waterAvailable,loanAmountToPay,peasantFamilyMinimalVital,money,currentDay,Secure/Insecure,currentActivity,peasantFamilyAffinity,toPay,harvestedWeight,peasantFamilyHelper,nombre_agente
20,0.3998757118946111,StablePeasant,,0,98,worker,2199316,10,0,,0,normal,0.49984463986826383,[],0.97,True,24,0.8776002,999,True,,0,99,NONE,01/01/2023,1999,0,10000,2099316,339,0.90990007,NONE,0.6997824958155693,0,0,,PeasantFamily_10
21,0.3955387897184093,StablePeasant,,0,96,farmer,2175463,10,0,farm_3_small,0,normal,0.4944234871480116,"[{'farmName': 'farm_3_small', 'landName': 'land_14', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_3_small', 'landName': 'land_15', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.90990007,928,True,NONE,0,98,NONE,01/01/2023,1988,0,10000,719463,288,0.90990007,NONE,0.6921928820072162,0,0,,PeasantFamily_9
22,0.43607070742762244,StablePeasant,,0,109,farmer,2398388,10,0,farm_6_small,0,normal,0.545088384284528,"[{'farmName': 'farm_6_small', 'landName': 'land_16', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_6_small', 'landName': 'land_17', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.7275002,1010,True,NONE,1,100,NONE,01/01/2023,260,0,10000,821388,285,0.7899002,NONE,0.7631237379983391,0,0,,PeasantFamily_7
23,0.37067172301385487,StablePeasant,,0,85,worker,2038694,10,0,,0,normal,0.46333965376731856,[],0.97,True,24,0.90990007,926,True,,0,92,NONE,01/01/2023,1926,0,10000,2108694,345,0.90990007,NONE,0.6486755152742459,0,0,,PeasantFamily_6
24,0.3890285822142634,StablePeasant,,0,94,farmer,2139657,10,0,farm_1_small,0,normal,0.48628572776782925,"[{'farmName': 'farm_1_small', 'landName': 'land_9', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_small', 'landName': 'land_10', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.72530043,892,True,NONE,0,97,NONE,01/01/2023,1972,0,10000,896657,279,0.78980017,NONE,0.6808000188749609,0,0,,PeasantFamily_2
25,0.42321965599043265,StablePeasant,,0,105,farmer,2327708,10,0,farm_7_small,0,normal,0.5290245699880408,"[{'farmName': 'farm_7_small', 'landName': 'land_25', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_7_small', 'landName': 'land_20', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.90990007,998,True,NONE,1,100,NONE,01/01/2023,1308,0,10000,664708,285,0.90990007,NONE,0.7406343979832571,0,0,,PeasantFamily_8
26,0.3676274591704526,StablePeasant,,0,83,worker,2021951,10,0,,0,normal,0.4595343239630657,[],0.97,True,24,0.8498001,919,True,,0,91,NONE,01/01/2023,1919,0,10000,1281951,351,0.8498001,NONE,0.6433480535482919,0,0,,PeasantFamily_1
27,0.39193905230031983,StablePeasant,,0,95,farmer,2155664,10,0,farm_2_small,0,normal,0.48992381537539975,"[{'farmName': 'farm_2_small', 'landName': 'land_12', 'elapsedWorkTime': 17, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_2_small', 'landName': 'land_13', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.90990007,899,True,NONE,0,97,NONE,01/01/2023,1979,0,10000,1064664,288,0.90990007,NONE,0.6858933415255596,0,0,,PeasantFamily_4
28,0.3800349177293195,StablePeasant,,0,90,farmer,2090192,10,0,farm_4_small,0,normal,0.4750436471616494,"[{'farmName': 'farm_4_small', 'landName': 'land_5', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_small', 'landName': 'land_6', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8453003,870,True,NONE,0,95,NONE,01/01/2023,1950,0,10000,722192,285,0.90990007,NONE,0.6650611060263091,0,0,,PeasantFamily_3
29,0.4091367811484653,StablePeasant,,0,102,worker,2250252,10,0,,0,normal,0.5114209764355816,[],0.97,True,24,0.90990007,1022,True,,1,100,NONE,01/01/2023,2022,0,10000,1440252,336,0.90990007,NONE,0.7159893670098142,0,0,,PeasantFamily_9
