,peasantLeisureAffinity,peasantKind,contractor,pesticidesAvailable,initialHealth,purpose,initialMoney,tools,daysToWorkForOther,peasantFamilyLandAlias,robberyAccount,rainfallConditions,peasantFriendsAffinity,assignedLands,Happiness/Sadness,farm,timeLeftOnDay,Hopeful/Uncertainty,seeds,newDay,cropSize,health,currentPeasantLeisureType,internalCurrentDate,waterAvailable,loanAmountToPay,peasantFamilyMinimalVital,money,currentDay,Secure/Insecure,currentActivity,peasantFamilyAffinity,toPay,harvestedWeight,peasantFamilyHelper,nombre_agente,currentSeason
20,0.4174035668819661,StablePeasant,,0,104,farmer,2295719,10,0,farm_4_small,0,normal,0.5217544586024576,"[{'farmName': 'farm_4_small', 'landName': 'land_5', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_small', 'landName': 'land_6', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.96999997,True,24,0.8994989,963,True,1,100,NONE,01/01/2023,543,0,10000,867719,285,0.9099999,NONE,0.7304562420434406,0,0,,PeasantFamily_4,NONE
21,0.4254534876110495,StablePeasant,,0,106,farmer,2339994,10,0,farm_2_small,0,normal,0.5318168595138119,"[{'farmName': 'farm_2_small', 'landName': 'land_12', 'elapsedWorkTime': 34, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_2_small', 'landName': 'land_13', 'elapsedWorkTime': 17, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8478998,983,True,1,100,NONE,01/01/2023,563,0,10000,1726994,285,0.85,NONE,0.7445436033193366,0,0,PeasantFamily_2,PeasantFamily_3,NONE
22,0.41814170848790866,StablePeasant,,0,104,farmer,2299779,10,0,farm_5_small,0,normal,0.5226771356098858,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9701,True,24,0.8178997,965,True,1,100,NONE,01/01/2023,635,0,10000,862779,288,0.9099999,NONE,0.7317479898538402,0,0,,PeasantFamily_1,NONE
23,0.36836234948938484,StablePeasant,,0,84,farmer,2025992,10,0,farm_3_small,0,normal,0.460452936861731,"[{'farmName': 'farm_3_small', 'landName': 'land_14', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_3_small', 'landName': 'land_15', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9701,True,24,0.9101,860,True,0,92,NONE,01/01/2023,1920,0,10000,779992,288,0.9101,NONE,0.6446341116064234,0,0,,PeasantFamily_7,NONE
24,0.438250148485033,StablePeasant,,0,109,worker,2410375,10,0,,0,normal,0.5478126856062913,[],0.97,True,24,0.81339943,1095,True,1,100,NONE,01/01/2023,2095,0,10000,2400375,333,0.84969985,NONE,0.7669377598488077,0,0,,PeasantFamily_5,
25,0.40479123630391234,StablePeasant,,0,101,farmer,2226351,10,0,farm_1_small,0,normal,0.5059890453798904,"[{'farmName': 'farm_1_small', 'landName': 'land_9', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_small', 'landName': 'land_10', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8116993,931,True,1,40,NONE,01/01/2023,181,0,10000,993351,294,0.85,NONE,0.7083846635318466,0,0,,PeasantFamily_8,NONE
26,0.4333236531132607,StablePeasant,,0,108,farmer,2383280,10,0,farm_7_small,0,normal,0.5416545663915758,"[{'farmName': 'farm_7_small', 'landName': 'land_25', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_7_small', 'landName': 'land_20', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.97,True,24,0.8199998,1023,True,1,100,NONE,01/01/2023,1243,0,10000,898280,282,0.8199998,NONE,0.7583163929482061,0,0,,PeasantFamily_6,NONE
27,0.40781339225137414,StablePeasant,,0,101,worker,2242973,10,0,,0,normal,0.5097667403142176,[],0.96999997,True,24,0.75999975,1019,True,1,100,NONE,01/01/2023,2019,0,10000,2332973,345,0.75999975,NONE,0.7136734364399047,0,0,,PeasantFamily_10,
28,0.4227107176503695,StablePeasant,,0,105,farmer,2324908,10,0,farm_6_small,0,normal,0.5283883970629618,"[{'farmName': 'farm_6_small', 'landName': 'land_16', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_6_small', 'landName': 'land_17', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9701,True,24,0.7537995,976,True,1,100,NONE,01/01/2023,736,0,10000,710908,285,0.8199999,NONE,0.7397437558881464,0,0,,PeasantFamily_9,NONE
29,0.4164714737144943,StablePeasant,,0,104,farmer,2290593,10,0,farm_5_small,0,normal,0.5205893421431178,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9699,True,24,0.83939934,961,True,1,100,NONE,01/01/2023,751,0,10000,893593,288,0.8498999,NONE,0.7288250790003649,0,0,,PeasantFamily_1,NONE
